PING 160.16.31.100 (160.16.31.100) 56(84) bytes of data.
64 bytes from 160.16.31.100: icmp_seq=108 ttl=64 time=76.4 ms
64 bytes from 160.16.31.100: icmp_seq=109 ttl=64 time=51.8 ms
64 bytes from 160.16.31.100: icmp_seq=110 ttl=64 time=53.9 ms
64 bytes from 160.16.31.100: icmp_seq=111 ttl=64 time=53.8 ms
64 bytes from 160.16.31.100: icmp_seq=112 ttl=64 time=51.8 ms
64 bytes from 160.16.31.100: icmp_seq=113 ttl=64 time=59.1 ms
64 bytes from 160.16.31.100: icmp_seq=114 ttl=64 time=54.3 ms
64 bytes from 160.16.31.100: icmp_seq=115 ttl=64 time=52.2 ms
64 bytes from 160.16.31.100: icmp_seq=116 ttl=64 time=54.3 ms
64 bytes from 160.16.31.100: icmp_seq=117 ttl=64 time=57.7 ms
64 bytes from 160.16.31.100: icmp_seq=118 ttl=64 time=61.1 ms
64 bytes from 160.16.31.100: icmp_seq=119 ttl=64 time=56.1 ms
64 bytes from 160.16.31.100: icmp_seq=120 ttl=64 time=53.3 ms
64 bytes from 160.16.31.100: icmp_seq=121 ttl=64 time=54.3 ms
64 bytes from 160.16.31.100: icmp_seq=122 ttl=64 time=52.9 ms
64 bytes from 160.16.31.100: icmp_seq=123 ttl=64 time=69.9 ms
64 bytes from 160.16.31.100: icmp_seq=124 ttl=64 time=65.6 ms
64 bytes from 160.16.31.100: icmp_seq=125 ttl=64 time=60.1 ms
64 bytes from 160.16.31.100: icmp_seq=126 ttl=64 time=53.4 ms
64 bytes from 160.16.31.100: icmp_seq=127 ttl=64 time=75.3 ms
64 bytes from 160.16.31.100: icmp_seq=128 ttl=64 time=59.8 ms
64 bytes from 160.16.31.100: icmp_seq=129 ttl=64 time=57.1 ms

--- 160.16.31.100 ping statistics ---
129 packets transmitted, 129 received, 0% packet loss, time 129651ms
rtt min/avg/max/mdev = 51.026/62.499/104.968/10.027 ms
