PING 160.16.31.100 (160.16.31.100) 56(84) bytes of data.
64 bytes from 160.16.31.100: icmp_seq=82 ttl=64 time=57.5 ms
64 bytes from 160.16.31.100: icmp_seq=83 ttl=64 time=58.3 ms
64 bytes from 160.16.31.100: icmp_seq=84 ttl=64 time=56.6 ms
64 bytes from 160.16.31.100: icmp_seq=85 ttl=64 time=59.9 ms
64 bytes from 160.16.31.100: icmp_seq=86 ttl=64 time=55.5 ms
64 bytes from 160.16.31.100: icmp_seq=87 ttl=64 time=59.0 ms
64 bytes from 160.16.31.100: icmp_seq=88 ttl=64 time=58.4 ms
64 bytes from 160.16.31.100: icmp_seq=89 ttl=64 time=59.2 ms
64 bytes from 160.16.31.100: icmp_seq=90 ttl=64 time=72.9 ms
64 bytes from 160.16.31.100: icmp_seq=91 ttl=64 time=60.5 ms
64 bytes from 160.16.31.100: icmp_seq=92 ttl=64 time=57.3 ms
64 bytes from 160.16.31.100: icmp_seq=93 ttl=64 time=59.3 ms
64 bytes from 160.16.31.100: icmp_seq=94 ttl=64 time=65.4 ms
64 bytes from 160.16.31.100: icmp_seq=95 ttl=64 time=55.7 ms
64 bytes from 160.16.31.100: icmp_seq=96 ttl=64 time=58.1 ms
64 bytes from 160.16.31.100: icmp_seq=97 ttl=64 time=63.5 ms
64 bytes from 160.16.31.100: icmp_seq=98 ttl=64 time=55.8 ms
64 bytes from 160.16.31.100: icmp_seq=99 ttl=64 time=57.8 ms
64 bytes from 160.16.31.100: icmp_seq=100 ttl=64 time=79.9 ms
64 bytes from 160.16.31.100: icmp_seq=101 ttl=64 time=63.9 ms
64 bytes from 160.16.31.100: icmp_seq=102 ttl=64 time=55.7 ms
64 bytes from 160.16.31.100: icmp_seq=103 ttl=64 time=60.7 ms
64 bytes from 160.16.31.100: icmp_seq=104 ttl=64 time=58.5 ms
64 bytes from 160.16.31.100: icmp_seq=105 ttl=64 time=68.3 ms
64 bytes from 160.16.31.100: icmp_seq=106 ttl=64 time=58.9 ms
64 bytes from 160.16.31.100: icmp_seq=107 ttl=64 time=67.7 ms
64 bytes from 160.16.31.100: icmp_seq=108 ttl=64 time=64.8 ms
64 bytes from 160.16.31.100: icmp_seq=109 ttl=64 time=56.8 ms
64 bytes from 160.16.31.100: icmp_seq=110 ttl=64 time=61.4 ms
64 bytes from 160.16.31.100: icmp_seq=111 ttl=64 time=55.8 ms
64 bytes from 160.16.31.100: icmp_seq=112 ttl=64 time=57.3 ms
64 bytes from 160.16.31.100: icmp_seq=113 ttl=64 time=59.1 ms
64 bytes from 160.16.31.100: icmp_seq=114 ttl=64 time=55.9 ms
64 bytes from 160.16.31.100: icmp_seq=115 ttl=64 time=58.5 ms
64 bytes from 160.16.31.100: icmp_seq=116 ttl=64 time=64.9 ms
64 bytes from 160.16.31.100: icmp_seq=117 ttl=64 time=58.1 ms
64 bytes from 160.16.31.100: icmp_seq=118 ttl=64 time=63.2 ms
64 bytes from 160.16.31.100: icmp_seq=119 ttl=64 time=62.8 ms
64 bytes from 160.16.31.100: icmp_seq=120 ttl=64 time=59.2 ms
64 bytes from 160.16.31.100: icmp_seq=121 ttl=64 time=55.7 ms
64 bytes from 160.16.31.100: icmp_seq=122 ttl=64 time=73.9 ms
64 bytes from 160.16.31.100: icmp_seq=123 ttl=64 time=57.0 ms
64 bytes from 160.16.31.100: icmp_seq=124 ttl=64 time=55.2 ms
64 bytes from 160.16.31.100: icmp_seq=125 ttl=64 time=59.2 ms
64 bytes from 160.16.31.100: icmp_seq=126 ttl=64 time=57.3 ms
64 bytes from 160.16.31.100: icmp_seq=127 ttl=64 time=57.6 ms
64 bytes from 160.16.31.100: icmp_seq=128 ttl=64 time=59.5 ms
64 bytes from 160.16.31.100: icmp_seq=129 ttl=64 time=65.2 ms
64 bytes from 160.16.31.100: icmp_seq=130 ttl=64 time=55.2 ms
64 bytes from 160.16.31.100: icmp_seq=131 ttl=64 time=54.9 ms
64 bytes from 160.16.31.100: icmp_seq=132 ttl=64 time=54.7 ms
64 bytes from 160.16.31.100: icmp_seq=133 ttl=64 time=68.2 ms
64 bytes from 160.16.31.100: icmp_seq=134 ttl=64 time=61.7 ms
64 bytes from 160.16.31.100: icmp_seq=135 ttl=64 time=67.9 ms
64 bytes from 160.16.31.100: icmp_seq=136 ttl=64 time=55.4 ms
64 bytes from 160.16.31.100: icmp_seq=137 ttl=64 time=56.0 ms

--- 160.16.31.100 ping statistics ---
137 packets transmitted, 137 received, 0% packet loss, time 137918ms
rtt min/avg/max/mdev = 0.000/62.849/164.343/13.031 ms
