PING 160.16.31.100 (160.16.31.100) 56(84) bytes of data.
64 bytes from 160.16.31.100: icmp_seq=1 ttl=64 time=54.4 ms
64 bytes from 160.16.31.100: icmp_seq=2 ttl=64 time=59.3 ms
64 bytes from 160.16.31.100: icmp_seq=3 ttl=64 time=57.9 ms
64 bytes from 160.16.31.100: icmp_seq=4 ttl=64 time=53.4 ms
64 bytes from 160.16.31.100: icmp_seq=5 ttl=64 time=0.000 ms
64 bytes from 160.16.31.100: icmp_seq=6 ttl=64 time=49.3 ms
64 bytes from 160.16.31.100: icmp_seq=7 ttl=64 time=54.3 ms
64 bytes from 160.16.31.100: icmp_seq=8 ttl=64 time=49.7 ms
64 bytes from 160.16.31.100: icmp_seq=9 ttl=64 time=54.0 ms
64 bytes from 160.16.31.100: icmp_seq=10 ttl=64 time=124 ms
64 bytes from 160.16.31.100: icmp_seq=11 ttl=64 time=45.3 ms
64 bytes from 160.16.31.100: icmp_seq=12 ttl=64 time=47.2 ms
64 bytes from 160.16.31.100: icmp_seq=13 ttl=64 time=47.2 ms
64 bytes from 160.16.31.100: icmp_seq=14 ttl=64 time=50.4 ms
64 bytes from 160.16.31.100: icmp_seq=15 ttl=64 time=48.5 ms
64 bytes from 160.16.31.100: icmp_seq=16 ttl=64 time=49.2 ms
64 bytes from 160.16.31.100: icmp_seq=17 ttl=64 time=44.8 ms
64 bytes from 160.16.31.100: icmp_seq=18 ttl=64 time=51.1 ms
64 bytes from 160.16.31.100: icmp_seq=19 ttl=64 time=47.1 ms
64 bytes from 160.16.31.100: icmp_seq=20 ttl=64 time=88.6 ms
64 bytes from 160.16.31.100: icmp_seq=21 ttl=64 time=118 ms
64 bytes from 160.16.31.100: icmp_seq=22 ttl=64 time=54.6 ms
64 bytes from 160.16.31.100: icmp_seq=23 ttl=64 time=49.2 ms
64 bytes from 160.16.31.100: icmp_seq=24 ttl=64 time=50.3 ms
64 bytes from 160.16.31.100: icmp_seq=25 ttl=64 time=47.7 ms
64 bytes from 160.16.31.100: icmp_seq=26 ttl=64 time=48.4 ms
64 bytes from 160.16.31.100: icmp_seq=27 ttl=64 time=51.0 ms
64 bytes from 160.16.31.100: icmp_seq=28 ttl=64 time=63.1 ms
64 bytes from 160.16.31.100: icmp_seq=29 ttl=64 time=53.6 ms
64 bytes from 160.16.31.100: icmp_seq=30 ttl=64 time=112 ms
64 bytes from 160.16.31.100: icmp_seq=31 ttl=64 time=46.9 ms
64 bytes from 160.16.31.100: icmp_seq=32 ttl=64 time=55.0 ms
64 bytes from 160.16.31.100: icmp_seq=33 ttl=64 time=45.8 ms
64 bytes from 160.16.31.100: icmp_seq=34 ttl=64 time=45.0 ms
64 bytes from 160.16.31.100: icmp_seq=35 ttl=64 time=46.2 ms
64 bytes from 160.16.31.100: icmp_seq=36 ttl=64 time=44.9 ms
64 bytes from 160.16.31.100: icmp_seq=37 ttl=64 time=48.4 ms
64 bytes from 160.16.31.100: icmp_seq=38 ttl=64 time=51.3 ms
64 bytes from 160.16.31.100: icmp_seq=39 ttl=64 time=57.9 ms
64 bytes from 160.16.31.100: icmp_seq=40 ttl=64 time=47.2 ms
64 bytes from 160.16.31.100: icmp_seq=41 ttl=64 time=64.5 ms
64 bytes from 160.16.31.100: icmp_seq=42 ttl=64 time=48.3 ms
64 bytes from 160.16.31.100: icmp_seq=43 ttl=64 time=52.3 ms
64 bytes from 160.16.31.100: icmp_seq=44 ttl=64 time=76.9 ms
64 bytes from 160.16.31.100: icmp_seq=45 ttl=64 time=46.4 ms
64 bytes from 160.16.31.100: icmp_seq=46 ttl=64 time=51.3 ms
64 bytes from 160.16.31.100: icmp_seq=47 ttl=64 time=44.9 ms
64 bytes from 160.16.31.100: icmp_seq=48 ttl=64 time=46.3 ms
64 bytes from 160.16.31.100: icmp_seq=49 ttl=64 time=56.2 ms
64 bytes from 160.16.31.100: icmp_seq=50 ttl=64 time=59.5 ms
64 bytes from 160.16.31.100: icmp_seq=51 ttl=64 time=46.5 ms
64 bytes from 160.16.31.100: icmp_seq=52 ttl=64 time=46.4 ms
64 bytes from 160.16.31.100: icmp_seq=53 ttl=64 time=45.9 ms
64 bytes from 160.16.31.100: icmp_seq=54 ttl=64 time=46.7 ms
64 bytes from 160.16.31.100: icmp_seq=55 ttl=64 time=49.1 ms
64 bytes from 160.16.31.100: icmp_seq=56 ttl=64 time=52.0 ms
64 bytes from 160.16.31.100: icmp_seq=57 ttl=64 time=71.7 ms
64 bytes from 160.16.31.100: icmp_seq=58 ttl=64 time=60.2 ms

--- 160.16.31.100 ping statistics ---
59 packets transmitted, 58 received, 1% packet loss, time 58554ms
rtt min/avg/max/mdev = 0.000/54.869/124.725/18.262 ms
